,name,link,research,field,id
10,Prof Anthony Goodacre,https://www.research.manchester.ac.uk/portal/john.goodacre.html,"
Other research
FP7/H2020 Projects
EuroExE (selected)
ACTiCLOUD (active)
ExaNoDe (active)
ExaNEST (active)
ecoSCALE (active)


EUROSERVER
SAVE
RETHING big
HiPEAC
ETP4HPC
vIrtical
Mont-Blanc
EnCORE
eMuCo

",cs,358
11,Prof Simon Harper,https://www.research.manchester.ac.uk/portal/simon.harper.html,"
Other researchImpact Ranking and ReachImpact (circa August 2013): Metrics for my full 11 year career can be summarised as follows: Papers — 176: Citations — 1229: Years — 15: Cites/year — 81.93: Cites/paper — 6.98/2.0/0: Cites/author — 450.33: Cites/author/year — 30.02: Papers/author — 74.01: Authors/paper — 2.78/3.0/3: h-index — 19: g-index — 29: hc-index — 14: hI-index — 6.12: hI-norm — 11: hI: annual — 0.73: AWCR — 191.75: AW-index — 13.85: AWCRpA — 70.17: e-index — 18.55: hm-index — 11.08.
Ranking (circa August 2014): Both Google Scholar and Microsoft Research rank me first for Web Accessibility, in the top three for Accessibility, and in the top 0.5% for Human Computer Interaction (HCI) and WWW; while Scholarometer ranks me 38th for HCI (internationally) using their career and domain normalised hs-index measure. Further, the University rates me as REF 4* with an h-index of 20 and an i10 index of 42 (both excellent for Web Accessibility, Accessibility, and HCI). I have been successful in 15 grants since 2007 resulting in total funding over six years of 1.45 Million.
Reach (circa August 2014): Finally, ACM Bibliometrics indicate the scope and influence my work has and of the 50 papers available for download I have achieved: 

Publication years 1999-2013
Available for download50
Downloads (6 Weeks)283
Downloads (12 Months)1,959
Downloads (cumulative)21,283
Average downloads per article425.66
Average citations per article4.95
Research IdentificationACM: http://dl.acm.org/author_page.cfm?id=81100139139Google: http://scholar.google.co.uk/citations?user=SQEdResAAAAJORC-ID: http://orcid.org/0000-0001-9301-5049Research Gate: https://www.researchgate.net/profile/Simon_Harper/
",cs,411
12,Dr Caroline Jay,https://www.research.manchester.ac.uk/portal/caroline.jay.html,"
Research interestsUsing empirical methods to improve and innovate in:
Health Science and MedicineCreative Media and TelevisionKnowledge Representation and Software Engineering
Caroline's research focuses on software engineering and human-computer interaction, combining her expertise in computer science and psychology.
She is interested in interaction modelling, particularly in challenging situations: in the wild; when the user's task is unknown; when more than one device is in use.
She is currently working with the BBC as PI of Implicit Device Interaction project (EP/M017133/1) and CI of the Synchronised Attention knowledge exchange project (EP/K503782/1-RMS99537).
",cs,84
13,Dr Caroline Jay,https://www.research.manchester.ac.uk/portal/caroline.jay.html,"
Other research
Grants and Projects


IDInteraction: Capturing Indicative Usage Models in Software for Implicit Device Interaction.EP/M017133/1 (PI)Data-driven Eye Movement Analysis of Artwork. EPSRC IAA and Manchester Art Gallery (PI)Data Science Meets Creative Media: Building Links between the University of Manchester and the BBC. UMRI Pump-Priming Programme (PI)Instilling the Mechanics of Software Engineering through Experience. EPS Strategic Fund (PI)The Living Room Experience. EPS Strategic Fund and the BBC (PI)Gaze Modelling for Time Series Medical Data. EPS Strategic Fund and Fastbleep (PI)
CityVerve. Innovate UK (CI)WhatIf: Answering 'What if..?' Questions for Ontology Authoring. EP/J014176/1 (CI)Synchronized Attention Grant. EPSRC IAA and the BBC (CI)Towards a Mobile Health Device for Day-to-Day Monitoring of Parkinson's Disease. MRC Confidence in Concept (CI)How is Britain Breathing? Using Citizens as Sensors to Improve Public Health. HeRC PPI Scheme and British Society for Immunology (CI)Early Stage Scoping into the Application of Living Documentation for a Digital Approval System. EPSRC IAA and Digital ID (CI)A Feasibility Study into Visual Attention Models for Exploring Complex Information EP/D036518/1(Researcher-CI)

",cs,84
14,"Dr Kung-Kiu Lau Bsc, PhD",https://www.research.manchester.ac.uk/portal/kung-kiu.lau.html,"
Research interestsCurrently my main research area is Component-based Software Development. See my research page for details.
I lead the Component-based Software Development research group at Manchester.
",cs,178
15,Dr Tim Morris,https://www.research.manchester.ac.uk/portal/tim.morris.html,"
Research interestsDr Tim Morris researches real-time video processing problems, texture measurement and image segmentation issues. Video processing research finds applications in creating intelligent assistants - such as non-contact computer interfaces based on speech or image input - and in video-mediated communication. Research into image segmentation is being demonstrated by the interpretation of medical images. His postgraduate students have worked on different aspects of perceptual interfaces (using head orientation and gestures as communication channels); on video coding and coded data quality assessment; on interpretation of medical imagery; and on video-telephony.
He is currently involved in two research areas:
 
Retinal Image Processing
The retina is affected by many illnesses; we are looking at glaucoma, diabetes and macular degeneration. We are interested in diagnosing glaucoma and monitoring its progress in an objective fashion since it has been shown that the variability amongst optometrists is of the same magnitude as the changes associated with glaucoma. Similarly, we are attempting to separate patients known to be diabetic into groups with lower and higher risk of losing vision or developing other complications.
A side issue in this research is to investigate methods of quantifying texture.
 
 
Assistive Technology
Visually handicapped people have different needs in using home and office equipment or in navigating unknown areas. We are investigating two problems:
How can a visually handicapped person determine their location without the benefit of visual cues? Again, handheld devices are being investigated in the solution.How can a visually handicapped person navigate through the envoronment in a safe fashion? Can we develop devices that are easier/more reliable than a white cane?
In both cases the handheld device (probably a smartphone) will capture images, process them to determine the appropriate information, and deliver audio output.
 
 
",cs,320
16,Dr Mustafa A. Mustafa,https://www.research.manchester.ac.uk/portal/mustafa.mustafa.html,"
Research interestsSecurity and Privacy in Smart Grid
Peer-to-peer (local) electricity trading marketsSmart meteringSmart electric vehicle chargingDemand response
Applied Cryptography in Smart City and e-Health
Keyless car sharing systemsFrictionless authenticationHealth data collection, distribution and access control
",cs,225
17,Dr Mustafa A. Mustafa,https://www.research.manchester.ac.uk/portal/mustafa.mustafa.html,"
Other researchOngoing Reseach Projects
SNIPPET: Secure and Privacy-friendly Peer-to-peer Electricity Trading, FWO-SBO project (2019 - 2023), in collaboration with KU Leuven (BE) and VUB (BE)Secure and Privacy-friendly Sharing Economy Applications, The University of Manchester (2018 - 2023)
Previous Reseach Projects
DiskMan: Dynamic Risk-based Access Management, imec ICON project (2016 - 2018)SAGA: Secured Smart Grid Metering Architecture, KIC Innovation project (2015 - 2016)Smart Grid Security, EPSRC and Toshiba (2011 - 2015)
Scholarships and Fellowships
Dame Kathleen Ollerenshaw Research Fellowship, The University of Manchester, (2018–2023)Postdoctoral Scholarship Holder in international mobility, KU Leuven, (2015–2018)Industrial CASE Ph.D. Studentship, EPSRC and Toshiba Research Europe, (2011–2015)ONE North East Postgraduate Bursary, One North East, (2009–2010)
",cs,225
18,Prof Goran Nenadic,https://www.research.manchester.ac.uk/portal/gnenadic.html,"
Research interestsDr Goran Nenadic has been working in the area of natural language processing and text mining since 1993. His research interests include automatic terminology extraction, classification and management, compound word recognition and digital corpora encoding. He also investigates terminology-driven mining of scientific literature (in particular for life sciences) by extracting terms and establishing associations and links among them. He is interested in text analytics and sentiment analysis from online resources, in particular in the healthcare domain.  He leads the UK healthcare text analytics network (http://www.healtex.org) and his team is  part of The Farr Institute’s Health eResearch Centre (HeRC), where he co-ordinates healthcare text analytics efforts in collaboration with a number of local hospitals and charities.
His current research focus is on large-scale extraction and linking of clinical/epidemiological findings from electronic health records (EHRs), healthcare social media and biomedical literature. His team has worked on mining narratives from EHRs (e.g. for clinical outcomes in cancer patients, or medication prescription extraction), making sense of patient-generated data from social media (e.g. benefits and harms of medical treatments) and providing context to clinical decision support systems (e.g. for treatment planning in brain injuries). He has led a number of joint projects with healthcare service providers (e.g. semi-automated large-scale anonymisation of clinical narratives; identification of mental health symptoms in social media; process mapping of occupational therapy reports), as well as with industrial partners (e.g. dynamic clinical documentation management, information extraction from clinical trial reports). Since 2008, his team has been actively involved in international challenges in clinical text mining. 
",cs,377
19,Dr Paul Nutter,https://www.research.manchester.ac.uk/portal/p.nutter.html,"
Research interestsMy research interests centre on the development of new storage paradigms using both optical and magnetic storage media, as well as fabrication and charaterisation of magnetic recording media. I am particularly interested in the fabrication and analysis of magnetic nano structures, which have a wide variety of applications from data storage to biomedical. 
Key areas of my research include:
Analysis of readout methods for magnetic, optical and magneto-optical data storage.Simulation and modeling of readout mechanisms in novel data storage systems.Characterisation of magnetic materials using Magneto-optical Kerr Effect (MOKE) and Anomalous Hall Effect (AHE).Channel and data recovery techniques for data storage systems.Lithographic techniques for patterning media for storage applications.
I have built a number of instruments for the MOKE analysis of magnetic materials and develop other techniques, such as AHE, which offer improved sensitivity.
I also like to engage in projects outside my chosen field of research. For example I have run three KTP projects with local SMEs developing automotive diagnostic test systems, BACnet enabled control products, and improving hard disc recovery rates.
I have recently secured research funding (in excess of £1M). One project is investigating the emission of THz pulses of radiation for spintronic sources, working jointly with the Department of Physics and Astronomy. The other is a follow-up KTP award with a local SME, Titan Products, to develop wireless sensors and systems for the HVAC industry, working with the Department of Electrical and Electronic Engineering.
",cs,249
20,Prof Norman Paton,https://www.research.manchester.ac.uk/portal/norman.paton.html,"
Research interestsMy research focuses on distributed information management for challenging environments and applications, much of which is carried out within the Information Management Group in the Department of Computer Science.
The development of effective techniques for improving computer support for data intensive applications is one of the major areas of activity in computer science research. Current areas of interest in computer science include:
Autonomic systems: enabling distributed systems to adapt their behaviour automatically to reflect changes in their execution environment.Data integration: reducing the cost of developing and maintaining applications that combine data from multiple databases or analysis environments.
Current projects include an EPSRC Programme Grant on Adding Value to Data (VADA) and Manchester's Smart City Demonstrator (CityVerve).
",cs,395
21,Dr Ian Pratt-Hartmann,https://www.research.manchester.ac.uk/portal/ian.pratt.html,"
Research interestsDr. Pratt-Hartmann's research interests range widely over the fields of logic, AI and cognitive science. He is chiefly concerned with issues at the interface(s) between logic and complexity theory, logic and geometry, and logic and natural lanaguage.
",cs,137
22,Mr Graham Riley,https://www.research.manchester.ac.uk/portal/graham.riley.html,"
Research interestsI am a Lecturer in the School of Computer Science at the University of Manchester and hold a part-time position in the Scientific Computing Department (SCD) at STFC, Daresbury. My research is application-driven and much of my research has been undertaken in collaboration with computational scientists in application areas such as Earth System Modelling (including the U.K. Met Office) and, previously, computational chemistry and biology. My aim is to apply my experience in high performance computing and software engineering for (principally) scientific computing to new application domains. I am also interested in techniques and tools to support flexible coupled modelling in scientific computing and in performance modelling techniques for large-scale heterogeneous HPC systems, where enegy efficiency is increasingly key.
 Further details can be found on  my web page. My current research interests are:
(i) Techniques, tools and methods for developing high performance applications for for parallel machines, including performance analysis, performance modelling and performance improvement.
(ii) Software architectures for the flexible composition and deployment of scientific coupled modelling.
(iii) Performance control techniques for “component”-based applications executing on distributed computing resources
Collaboration with Scientists and engineers is a key feature of my research and I, and my colleague, Rupert Ford (at STFC), have a long standing relationship with the Met Office in the U.K., with the Earth Systems Modelling (ESM) community in the U.K., Europe and the US.
",cs,348
23,Mr Graham Riley,https://www.research.manchester.ac.uk/portal/graham.riley.html,"
Other researchResearch InstitutesUMARI
",cs,348
24,Prof Rizos Sakellariou,https://www.research.manchester.ac.uk/portal/rizos.html,"
Research interestsMy research interests fall in the wide area of Parallel, Distributed and Large-Scale Software Systems. For more information about my research, click here to visit my personal web page.
",cs,405
25,Prof Uli Sattler,https://www.research.manchester.ac.uk/portal/uli.sattler.html,"
Research interestsMy general research interests are in logics for knowledge representation and automated deduction. More specifically, I am interested in Description, Modal, and Dynamic Logics, the corresponding inference problems, their complexity, and decision procedures for these problems.
Description Logics are a family of knowledge representation formalisms with several nice properties such as high expressive power, well-defined semantics, decidable inference problems, and practicable inference algorithms for these problems. I work on Description Logics as the logical underpinning of ontology languages such as OWL and OWL 2; their usage, for example, in molecular biology; practical inference algorithms for highly expressive Description Logics; and on the complexity of and inference algorithms for Description, Modal, and Dynamic Logics, using e.g., automata-based and tableau-based techniques. Finally, I am interested in investigating a variety of non-standard logical reasoning problems related to ontology engineering, including module extraction and analysis, as well as explaining entailments to ontology engineers.
",cs,420
26,Dr Andrea Schalk,https://www.research.manchester.ac.uk/portal/andrea.schalk.html,"
Research interests My research is concerned with the mathematical foundations of computer science, or, if you will, it is the area between mathematics and computer science. I am interested in modelling logics and (programming) languages, and mathematical structures that arise as such models. I am a member of the School of Computer Science, and I also have connections with the School of Mathematics. I work most closely with other members of the Mathematical Foundations Group. My recent publications are concerned with various categorical models of linear logic, and with games. The former makes connections between mathematical entities called morphisms and proofs, and these in turn can sometimes be connected with programs, or algorithms. Ultimately we would like to have a mathematical understanding of computer programs in the way that we have a mathematical understanding of the various phenomena that physics talks about. On a more concrete level I have given specific models of progams and proofs using certain kinds of games which are known as graph games. All my work is theoretical, and so typical results consist of proofs that there is a correspondence between certain entities that exist in the mathematical model and proofs or programs.
",cs,65
27,Prof Robert Stevens,https://www.research.manchester.ac.uk/portal/robert.stevens.html,"
Research interestsMy research has followed a theme of the computer science associated with managing and using complex information in inter-disciplinary settings, from early research into presenting complex information in audio to blind people, through research into tools for data analysis in e-Science to my principle research area in biomedical semantics.
Within my biomedical ontology research I have led the ontology building and use within the school as one vertex of a virtuous triangle of ontology language fundamentals, tool development and ontology development and use. I have published the first papers on semantic similarity using bio-ontologies, the use of bio-ontologies to query multiple distributed information sources, to discover new proteins through classification, and to publish discovery of new biological facts in a high impact biology journal from the use of Semantic Web technologies.
This research into semantically describing and managing biomedical data has had a counterpart in my activity within e-Science research. I led the user activity of the Taverna Workflow Workbench (led by Carole Goble) in analysis of biomedical data. I was first author on the first paper to mention workflow within bioinformatics; the lead author on the first paper to use workflows to demonstrate an automation of biological analysis and a supervisor (with Andy Brass) of Paul Fisher, who developed novel methods for analyzing gene expression data that has led to insights into tolerance to trypanosomiasis in East African cattle.
",cs,407
28,"Prof Chris Taylor FREng, OBE",https://www.research.manchester.ac.uk/portal/chris.taylor.html,"
Research interestsComputer Vision
Medical Image Analysis
MammographyBone and Joint imaging (OA, RA)Nailfold Capillaroscopy
Face Recognition/Analysis
Machine Learning
Connected Health and mHealth
Technology for Mental Health
Internet of Things
",cs,366
29,Prof Thomas Thomson,https://www.research.manchester.ac.uk/portal/thomas.thomson.html,"
Research interestsCurrent research is focussed on developing novel perpendicular anisotropy, nanostructured exchange spring thin films for data storage (e.g. for bit patterned media) and spintronics. A particular interest is the interaction of hybrid magnetic films where individual layers with in-plane and perpendicular anisotropy (PMA) are placed in intimate contact. The competition between exchange coupling, magnetostatic interactions and anisotropy provides a rich playground to explore zero applied field spintronic devices such as spin torque oscillators (STOs) and controlled topological magnetic structures including mutual domain imprints and vortices.
We have a significant effort in creating and understanding the properties of magnetic thin film multilayers where, in addition to the applied field, the system exhibits atemperature dependence. A prototype structure is FePt(high PMA)/FeRh/FePt(low PMA) where the magnetic properties are controlled by the FeRh layer which uniquely undergoes an antiferromagnetic to ferromagnetic phase transition above room temperature (T~ 370K). This material shows considerable promise for heat assisted magnetic recording (HAMR) and very recently it has been suggested that it might also form the basis of a memory resistor.
A second stand of research concentrates on electrical measurements of magnetic properties where we pattern mesoscale Hall devices to study the switching of nanomagnetic objects including novel, high ansiotropy PMA materials and to measure the transport properties of FeRh.
Additional research work is focussed on understanding magnetism in graphene and exploring the potential of 2D materials for spintronic applications.
",cs,417
30,Prof Junichi Tsujii,https://www.research.manchester.ac.uk/portal/j.tsujii.html,"
Other researchResearch InstitutesManchester Interdisciplinary Biocentre
",cs,386
31,Prof Xiaojun Zeng,https://www.research.manchester.ac.uk/portal/x.zeng.html,"
Research interestsComputational intelligenceMachine learningDecision support systemsComputational finance and game theoryEnergy demand side mangementHealth InformaticsData mining
",cs,422
32,Dr Liping Zhao,https://www.research.manchester.ac.uk/portal/liping.zhao.html,"
Research interestsResearch My research focuses on the discovery and development of reusable software patterns, symmetries and models, and the application of these fundamentals to model-driven development and service-oriented computing.
As a pioneer in service science, I co-funded and led the first academic network on service science in the UK (http://www.ssmenetuk.org/), and acted as a guest editor for a special journal issue on Knowledge Intensive Service Systems for the International Journal of Services Technology and Management, and a book on Case Studies for Service Innovation. I received three IBM Faculty Awards for my contribution to software patterns’ research and education.
",cs,190
33,Dr Liping Zhao,https://www.research.manchester.ac.uk/portal/liping.zhao.html,"
Other researchRelated LinksUK Academic Network SSMEnetUK 
",cs,190
